,isEdited,date,review,userName,rating,title,developerResponse
10,False,2022-07-25 17:51:02,"In the past I’ve had trouble renting citibikes in Chicago with getting codes, stations being down, no availability etc.

This time, the DIVVY app worked great for scanning a bike.  The standard bikes are heavy but easy to use.  I’m glad you can have them for 3 hrs without returning.

The ebikes were extra $ but well worth it.  All in all the app made for a seamless experience.",Mark20124,5,Love the app and ebikes,
11,False,2018-05-23 02:32:45,"I’ve been waiting for a while for a proper Divvy app. I didn’t care for Transit at all and Chivvy looks like it was abandoned. It’s nice to do door to door routing using Divvy, and even better to allow one time use tokens in case I didn’t bring my fob. It would be awesome if they gave Apple Watch support so I can get route instructions or the nearest station so I don’t have to pull out my phone in traffic.",snuggles41,5,Surprisingly good!,"{'id': 3599771, 'body': ""Thanks for the feedback! \n\nWe're glad you like the app so far. We've got a lot of improvements coming your way and we'll add your vote for the Apple Watch integration.\n\nHappy riding!\n\nCheers,\nJake & The Divvy App Team"", 'modified': '2018-05-25T17:50:25Z'}"
12,False,2018-07-22 17:47:02,"I still can’t understand why the favorite stations feature was removed and never re-instated.  It helped frequent users quickly determine if they could go to their usual bike stations or head elsewhere if the racks were full/empty. I would think that Divvy would want to capture data on favorite stations.  If a station was flagged as a favorite by many users, but it was continually full/empty, that may indicate the need for valet services or simply more rack space.",Maggi Suppe,2,Favorite Stations,
13,False,2020-05-25 15:46:11,"I haven’t had any hiccups with the iPhone app. Works just as intended. The Divvy system is easy to use. But, please please make an Apple Watch app. It would be nice to Divvy to a location, return bike to a local dock, and then run around in the area. I don’t like running with my phone, especially when running gear doesn’t have the pockets for it.",liea,5,Where’s the Apple Watch app?,
14,False,2020-04-01 16:29:04,"So, divvy apparently is lyft now. And apparently the geniuses behind this world class company (*not*) from the bowels of Silicon Valley forgot about the simple issue of account integration... because how could anyone have had a divvy account and a lyft account with different email addresses and contact info?!? What a wild world we live in!? So, now it’s impossible to sign into this app...

Please fix it, like yesterday. Not sure if you found these developers from Trump’s COVID response team or what, but the continued failure of Americans to rise to challenges (or a simple app upgrade) is incredibly disappointing.",Eek 134,1,Update fail,
15,False,2019-07-06 19:12:59,I don’t know what all the hate is about on this app. It worked perfectly for me and my four friends. We were able to easily unlock and ride bikes and it accurately kept our ride time. The bikes are in much better condition than the bike share program in my city. I will definitely use this service every time I visit Chicago.,Ry guy 69,5,Weekend Visitor,
16,False,2019-07-11 23:26:07,"With the migration to the new app divvy logged me (everyone?) out. Awesome surprise to find out on my commute to work. 

I didn’t remember which email I used form my account and turns out I had 2 accounts for different years I’ve used divvy memberships.
I originally logged in to the new app using my expired account - which doesn’t have an active membership so that’s on me.

BUT ... I couldn’t figure out how log out to sign in with a different email.  This app doesn’t follow standard patterns like clicking on your avatar.  I deleted the app twice and reinstalled but it remembered my login.  After giving up and getting an Uber, I found the option -  it’s hidden in lightweight barely readable text on a secondary screen.

Release management matters - wish I had more of a heads up and less friction with the upgrade.",Chicago PM,1,"poor migration from old app, poor UX for account management in the new one",
17,False,2018-10-14 02:02:43,"The app is simple to use and the updates make it better . For the developer, it’s important to leave feedback on those comments that are concerning just as if they were praises. You won’t ever get better if you choice to ignore it. There seems to be a lot of customer service related issues ...maybe additional training is needed. Just some advice .",ReneeKIR,4,The importance of Feedback,
18,False,2019-07-24 03:17:33,"I just moved to Chicago this year and was skeptical on how often I would use the divvy bikes. I signed up for the year membership and am I glad! Easily paid for itself. I just took my 100th ride. You can view your stats like mileage, calories burned, and rides took. Highly recommend divvy! The app is super easy and convenient to use.",Russ.23,5,Amazing!,
19,False,2022-11-08 14:35:03,We were in Chicago.  Wanted to rent 2 bikes. Used app for first bike but cannot use app for more than 1 bike. Chatted with help desk. Said to use kiosk.  Did but wasted time on first bike doing all this.  Different prices charged for app rental vs kiosk rental and those prices were not what was advertised on kiosk.  Charged twice as much as we expected.  Called customer service and the guy literally laughed when I expressed frustration about pricing misinformation and differences.  Will delete app once I post review.  Terrible all the way around.,"@$""$@(",1,Terrible app….read!,
20,False,2022-08-30 04:11:24,"Divvy used to be awesome but Lyft seems to be neglecting it these days. Classic blue bikes falling into disrepair, docks no longer being balanced, and the app has been full of bugs ever since they added scooters. A cynic might suspect they’re purposely running the bike share service into the ground so that cars are ride sharing looks better in comparison. Lyft step up your game!",wim.glenn,3,Lyft not maintaining it well,
21,False,2018-08-24 00:59:24,"I wanted to use divvy to commute home around rush hour. I check the station almost every day. The stations are always empty. I get a bike at most 1/4 times. 

I complained to customer service many times. All I got were hollow apologies and “sorry we can’t guarantee a bike every time”. The only thing they offered to do was to end my subscription early with no refund, which was insulting. 

If you want to pay money to a company for nothing in return, get Divvy. Otherwise don’t waste your time.",bdwain,1,Garbage service from a garbage company,
22,False,2020-01-31 16:52:20,"I love having the access to divvy so close to my house. I do wish the bikes were a little lighter. Going from the bike I own to the divvy bikes I feel like I’m carrying an extra 30 lbs with me. Also, we need more docks on the lakefront!! We like to bike to the beaches and it’s nearly impossible to find a dock close and/or with open spaces.",Roroirene,4,Great way to move around town,
23,False,2022-03-21 22:08:56,My friends and I were using the bikes to get to the train station and we couldn’t dock one of the bikes. We put it in the holder and it didn’t turn green we couldn’t like unlock it to retry docking it. We told the customer service and they said it will go down as missing and that it will continue to run for 24 hours. They said they won’t charge extra but I doubt it. It’s a terrible idea to ride the bikes. Would not recommend. BYOB - Bring your own bike! Or Run!,Don't use the bikes,1,Terrible,
24,False,2022-01-22 18:59:30,Pls read this before you download this app my friends who live in a more predominantly white neighborhood only gets charged 3.30 to use the bike for 30 minutes where as where I live it cost 3.30 to unlock the bike then an xtra .20 cents PER MINUTE now do remind u most areas are a red zone so it forces you to drive to where u go then to drive back which takes more money I had to pay 10$ + for a 10min ride what should’ve been only about 5$,criticaltyinker,1,App is biased and a con,
25,False,2018-12-17 12:56:39,"This app has only the simplest of features. For instance, it shows the details of ONLY your last ride. To get any more ride history, you have to log onto Divvy using a browser. AND the ride distance data is totally inaccurate, which makes the calorie calculator useless. I prefer the Transit app which allows me to see info about mass transit and ride sharing options, too (and integrate all my accounts with those companies).",ChiBuff,2,Sophomoric and inaccurate,
26,False,2019-07-17 22:31:04,"I’m a senior citizen with average tech ability. The app was easy to set up and use. After downloading the app, my wife and I were riding bikes within a few minutes. As an added bonus at the end of our ride a summary showed the elapsed time, miles ridden and total cost.",((Laurenn)),5,Great app,
27,False,2018-06-15 17:51:43,"Chicago is the absolute worst place to ride a bike. It’s illegal to ride on the sidewalk, yet there are no bike lanes and everyone is yelling at you or getting in the way. It’s totally dangerous and your app shouldn’t be encouraging people to bike around in such a stressful environment. Not to mention the bikes are huge, heavy, and hard to control. If you’re going to use Divvy ONLY GO on a LEGITIMATE TRAIL near the lake or through one of the parks.",Maddiebeeeeea,3,Great in theory,
28,False,2018-07-02 23:55:37,"App works well overall and great to have an official app over Transit. Convenient for getting codes and finding nearby station information. Few suggestions below:

-Simple Apple Watch app would be great for generating codes at the nearest station without having to take phone out

-Would be nice to have option to pay to check out a 2nd bike along your annual subscription for when with a friend who may not have the app/account

-Routing information could be improved, not a huge issue but directions from Google Maps are safer/faster but lack the station information",daniel5390,4,Great App Overall,
29,False,2020-12-16 01:47:06,"It lies about the mileage available on the ebikes, and strands you by freezing the ride screen. 
It merges your Lyft account with your Divvy account, and fails to credit you for the membership you paid for. 
It just killed the service without notice for weeks last Summer. 
Customer service is worse than useless. 
The app is optimized to maximize profit, and minimize functionality. 
Lyft took over Divvy to kill the competition from bike shares, providing such dreadful service that frustrated riders give up and take a Lyft. 
But this company just doesn’t care that its service is dangerous and dysfunctional because it has a monopoly, and makes money no matter how terrible the service.",JECBOY,1,This App Is Dangerous: Use It At Your Risk,
30,False,2020-08-16 23:18:13,"We rented 3 bikes using the kiosk because the app no longer works, apparently. After a 2.5 hour ride, we returned all 3 bikes at the same location at the same time. All 3 bikes locked back into their Divvy rack. Then I get an email saying 1 of the 3 bikes was not returned. Absolutely inaccurate, as we confirmed all 3 bikes were locked back in. I called customer service and was basically told I was wrong, and that I would have to pay for the “missing” bike.",Mike 10121970,1,Be careful - Divvy tries to accuse you of theft,
31,False,2018-09-21 19:44:23,"DO NOT USE DIVVY. I have used several bike sharing services as well as their apps. Divvy is the absolute worst. The app is not clear, they overcharge and often DOUBLE CHARGE you for rides. Divvy is the worst. Terrible customer service. Divvy bikes are in bad shape and their locks do not work and then they will charge you exorbitant fees and refuse to refund you. Bad service all around. There is a reason their average rating is 2.5 stars. That’s being generous. Cannot wait until they are replaced.",Joe trust me,1,Garbage service Garbage app,
32,False,2019-07-12 02:56:03,There have been numerous times I’ve been standing at a full divvy station only to revive an error message telling me that no bikes are available. I understand when there are no bikes left at certain stands however not being able to check out a bike due to a simply technical glitch is extremely frustrating.,MJK252525,2,Unreliable,
33,False,2020-07-12 03:30:21,"The information on the app is deliberately vague to trick you into spending more on the bikes than you intend to. The information in the app is also inconsistent with the signs on the street. Then when you call customer support to resolve the issue they are impossible to get anything anywhere with. It took me over an hour. As a whole they are not customer service oriented at all, which is unusual in this day and age. I expect more.",GregDrawsPictures,1,Buyer beware.,
34,False,2019-10-23 15:39:24,I like the app. Why such low reviews. Recent updates made it even better. I like the docking notification. I like the responsiveness. Things can be better but Divvy is a great service for a city like Chicago.,umit10101130,5,What’s the fuss,
35,False,2022-07-20 23:06:51,Divvy as a service is great. The app however is a joke. It is nearly impossible to rely on the availability they display as often you will arrive  at a station and none of the bikes/scooters showing as available actually can be used. It’s pretty pathetic that at this point they can’t accurately show you what is available.,frustrated and likely to quit,1,Horrible App Functionality Recently,
36,False,2020-03-24 22:59:18,"I’ve never wrote a review in my entire life for any industry or anything so when I say I’m mad I mean it. This app doesn’t function at all, it deposited my money of course but wouldn’t allow me to unlock the bike. And what’s with this “one way” stuff..... MAYBE I want to ride a bike somewhere and come back home without having to dock my bike and re-rent another one. Just awful. If I could give negative stars I would.",jbunce101,1,Not User Friendly,
37,False,2019-04-03 22:24:04,"I bought an annual pass and am waiting for my keycard to arrive in the mail. Supposedly I am able to activate bikes with this app while I wait for the card, but I kept getting error messages. The app also mistakenly believed that bikes were available at the dock closest to my office. The terminal did not recognize the credit card tied to my account. Divvy is unusable until I get my keycard in the mail.",mackong1,1,App doesn’t work,
38,False,2022-06-30 02:33:49,So the past 2 days the maps portion of the app does not update. It doesnt show where bikes are or what bikes are in the station. It has been frozen. My app is up to date and so is my ios. You can still rent divvys just there is no way to tell if a bike on the sidewalk is there or not. It also looks this same in the Lyft app. I am in Chicago.,seanthemonster,1,6.30 the app is broken,
39,False,2020-07-02 01:30:58,"I moved to Chicago last year and signed up for an annual membership in the fall. I was very happy with the service. Winters are too brutal but come spring I happily used the service again. From what I can tell, Lyft updated the app and my account was deleted. I have reached out 4x over two weeks with no response. I only used half my annual subscription and do not want to risk it again. Buy a bike.",bellacicco,1,Awful,
40,False,2019-12-02 04:45:45,"More stats, even as an option, would be appreciated.

I'd love the option to report issues with a bike: unresponsive braking, gears won't shift, seat issue, etc.

Overall a cool and useful app. I like being able to see the number of available bikes near me.",Femme2Mrbd,3,"More stats, interactivity",
41,False,2019-09-02 15:29:16,"Can whoever made this app also do the Ventra app??

Everything works great. Divvy is an awesome service. 

Sometimes location counts are messed up and dont account broken bikes and broken rack slots.",natedaub,5,Works awesome,
42,False,2019-03-17 04:26:50,"As one simply visiting for the weekend, looking for an alternative to long walls or ride shares, I was excited to see a bike share program. However, having annual membership as the only form of membership through the app is a complete blocker for me. 

As one who has worked in app development, I’m frankly shocked a “pay-as-you-go” system is not made available. What a waste of an application.",Dissappointed102938,1,Annual Membership only?!!,
43,False,2020-03-05 19:54:58,Easy to use. I appreciate the option to save docks to a favorites list so you can see quickly which have bikes.,Julie Bee 86,5,Easy to use,
44,False,2019-07-28 16:14:07,"I love Divvy-ing all over...when it works. Lately, the kiosks are down more than they are up, bikes don’t always release, and stations are full with no place to park. Perhaps Chi-town could take a page from Beantown where the kiosks seem to always work, the baskets are great and bikes are in great condition.","K8Mc,",3,Love the Idea,
45,False,2020-04-03 20:08:06,"This app looks like an improvement over the transit app, but I was really hoping for an Apple Watch version. 

I don’t bring my phone when I’m out on the beach or running on the path (which hopefully we can do again one day).",Home team fan,3,Need an Apple Watch app!,
46,False,2018-06-12 20:09:00,"Not a bad refresh from all the other apps that used to work with divvy. Since this is first party I’d love to see more data from past rides!
Love the integration with with HealthKit that’s a cool idea.",iAmericanBoy,5,Good start,
47,False,2022-05-28 18:09:02,"The service is unreliable. They also don’t care about customers at all. I got an annual subscription to get free ebikes in designated areas. Suddenly they charged my subscription and now I pay for every ebike ride (but they haven’t reimbursed my annual subscription fee!). 

Buy a bike. You probably don’t want to ride bikes with flat tires and no brakes anyway.",Gabriel240194a,1,Terrible. Super expensive.,
48,False,2020-11-29 17:26:33,"I grabbed a bike while my own is in the shop for a repair. I took it out of the zombie to run my errand.I locked it up so it wouldn’t get stolen. I went to unlock it in order to bring it back to where I got it from. Apparently locking it (so it doesn’t get stolen) ends the trip and doing so outside the zone renders it unusable. It a stupid, stupid, stupid system.",rorytfenwick,1,Not a good system,
49,False,2018-09-01 23:49:47,When it works it’s great. Very easy to dock and get a new bike. But about an hr into the day pass the app stopped working and said error every time we tried to get a new bike. There’s no way to use the kiosk if you bought it on the app either.,asmxy9,3,Crashed,
50,False,2022-06-10 00:11:17,"Spent 45 minutes on hold with support before I gave up. Email support message was ignored for ovwr 48 hours. Now being told to expect a refund in 5-7 business days.

Do not use if you cannot handle large unexpected charges on your account.",____willy______,1,Was charged over $300 because of a “bug” in their system,
51,False,2019-10-28 13:55:27,"Very easy, convenient, and it’s awesome to not need a physical fob to rent a bike! Only beef is the couple times the app has gone down, preventing me from being able to get home from work. Otherwise, great application.",Ahod13,4,Great App!,
52,False,2019-06-02 03:18:51,"Couldn’t get the app to process for me to unlock a bike, had to have a friend buy 2 passes so I could ride too. Still got charged for the failed transaction. Emailed customer service and they replied right away, but the entire process was annoying and the bikes aren’t that great.",LG8893,2,"*When* it works, it’s okay.",
53,False,2020-02-21 00:43:44,Could you have google maps link to google maps app similar to Lyft and Uber?,Latislov,5,Great- but please sync with google maps,
54,False,2019-04-19 02:24:18,"So I had problems taking off the bike from the dock after I payed for it, and the app didn’t recognized that I actually wasn’t able to ride the bike. I wrote them for my problem and had NO response whatsoever. Totally felt robbed. Never gonna use it again ever, dont download it, there are other similar services that are way better.",Juancdiazg,1,No customer service,
55,False,2022-08-16 17:08:17,"I’ve tried to get a scooter now 7 times, and something fails every time preventing me from doing so. The latest is the safety quiz popping up over and over and over and the the scooter not unlocking. 

Divvy was fine before Lyft took it over. Chicagoans deserve better than this crap. 

Disgraceful.",isprainedmyuvula,1,Absolute hot garbage,
56,False,2019-07-13 16:44:58,"This app never worlds for me. It will say error when I try to unlock a bike, when I try to find bikes, and when I enter my card information. I’m a member and have only been able to ride ONCE, but have been charged multiple times. The codes never work to unlock my bike either. Could be a great idea if they didn’t mess it up",girl girl,1,Terrible,
57,False,2020-05-15 22:28:12,"In our family 2 out of 3 people don’t have the app working. It has so many issues: login, then interface, then one phone doesn’t have a camera, so you can’t use that phone and got to use 2 accounts on one phone.",divvy user,2,Integration with Lyft ruined Divvy,
58,False,2019-07-31 14:20:06,It’s always up to date in terms of how many bikes and docking stations are available. Very convenient and easy to unlock a bike.,ejhs27,5,Love the divvy app!,
59,False,2019-08-10 20:38:20,Simple. Decent bikes though they’re heavy. Wish they did have lockdown. Then (like the redbones in Cincinnati) so that you could make pit stops,VitaminV6,5,Easy,
60,False,2018-07-26 02:46:25,"App is cool and helps find stations/bikes efficiently.  I love how the app records a workout on Apple products, but it doesn’t keep track of the calories.  It logs as a workout, but all the calories are lost.  Please fix this and the app will be perfect.",Tony Gold Coast,3,So close to being perfect.,
61,False,2020-07-22 14:02:05,"I am disappointed with the app because it does not allow for you to “map” out a ride. Often I will like to ride to an area, but I cannot find a simple map tool to allow me to see where the closest dock station is OR clear bike-only lanes.",vintagetrouble,2,Navigation tool?,
62,False,2019-05-28 22:41:52,"I love the divvy app. Only problem I see is when I go to “Ride History” it only shows my last trip. Ride history is available on the website, but not on the app.",Johi J.,3,Convenient,
63,False,2022-09-20 03:19:00,"I’d recommend looking elsewhere if you’d like a reliable app or mode of transport. The pay stations, bikes, and scooters don’t work. Don’t waste your time. Banging your head against the wall would be easier (and less painful) than using this app",alexcarnovale,1,Simply the worst transit app available,
64,False,2021-11-02 02:41:52,"The old divvy app let you save your favorite stations so you could quickly see which stations had bike or docks open. Why did they take that feature away?

Seems like the nes app only wants to give you directions",mac2fxuser,1,Where are my “favorites “??,
65,False,2018-07-19 13:38:48,"It’s a very good app, and it works most of the time. I don’t know if a more perfect app for the Apple Watch exists, and the fact it’s still not a part of divvy is just CRAZINESS.  Get off your butts, stop eating ice cream in front of the A/C and get back to work.",K2Kevin,3,It’s very good,
66,False,2019-08-09 18:55:28,Best way to travel around Chicago and see the city when you’re not from here.,Jakob Hunter,5,A lot of fun,
67,False,2019-07-22 12:21:01,Functional and convenient technology with reliable hardware = solving social and community problems,N/Aa1,5,Great experience!,
68,False,2019-10-14 02:45:16,"I enjoyed using the actual bike service, but I got charged seven times for four rides, even according to my own ride log. Keep an eye out.",addycarp,3,"Service good, but beware of overcharges",
69,False,2019-04-25 16:49:04,"Sign up was a pain because the app

1) doesn’t support iOS keychain / suggested passwords. So despite all the crazy rules I had to adhere to, I used an easy to crack password because I had no other way to remember it.

2) doesn’t support Apple Pay. Ok fine, but you don’t support iOS credit card auto fill either, so I had to dig out my physical card.

Users shouldn’t have had to do either of these things for several years now — get with the program.",cpcowart,2,Auto completion,
70,False,2021-04-08 22:26:30,Tried to rent a bike and it wouldn’t unlock. Unable to get support at time and charged my credit card for a maximum ride. Been trying to get ahold of customer service for 2 days and they won’t respond!!!! Don’t use.,Justin Rychlewski,1,Terrible customer service,
71,False,2021-07-02 13:41:17,"The app will show that an edivvy is fully charged, but when I go to unlock it, I get an error that says “please use a different bike”. This usually happens when I lock up and go into a store and come out to use the same bike.",Irishlass6391,1,Doesn’t unlock bikes,
72,False,2019-06-23 13:48:07,"Absolutely horrible app that left us stranded 2 days in a row. I even had to call customer service, sit on the phone for 30 minutes and they still were telling me they couldn’t fix the situation. I was also charged for a trip that I couldn’t take.",JS Chicago,1,Horrible App,
73,False,2018-07-31 12:42:05,"Totally unreliable application. Map frequently does not know your location and therefore won't unlock a bike because it doesn't think you are close enough, or if it does recognize your location, sends you an error message.",Happy to Purchase,1,Highly Problematic,
74,False,2020-10-06 02:06:41,"The app glitched and now says I need to be 16+ to ride, even though I’m 19. I have attempted to reach Divvy and Lyft for the past 2 weeks with no response, through calling, texting, contacting support, and emailing. Meanwhile, I paid $99 for an annual membership that I am unable to use.",Will Carson.,1,Worst Customer Service I’ve Ever Experienced,
75,False,2019-09-06 20:03:50,"The service is a trash.
I used once and when arrived at the station was full and I need to find another and for 1 minute the divy charged me $6. Yes $6 for one minute. I tried talk with the customer service, but they never reply me. I don’t recommend and I will never more use it.",UlyssesLouzada,1,Trash and dishonest.,
76,False,2019-08-01 15:51:52,"This app never reflects the correct amount of available bikes at a station. It might show 2 bikes available, but those bikes are flagged for maintenance and unable to use. So basically you just have to walk around and see what is available.",carlie jean v,1,Never accurate,
77,False,2018-06-07 13:16:53,"Tried to select the “Sync with Health app” and it says I need to go into settings to turn it on. When I go into Health settings, Divvy isn’t there because I need to select it in the app. Seems like something isn’t right here.",tatrueg,2,Apple Health Broken,
78,False,2020-06-25 16:18:29,"I agree that this new app is now close to impossible for existing users to just sign in, you guys need to fix it instead of just writing “thanks for your feedback” to satisfied users if we’re paying $100 a year for this.",ktodarling,1,So frustrating,"{'id': 16226415, 'body': 'Hello. Sorry to hear you are having issues with the app. Can you please tell us more details though our contact form here (https://help.divvybikes.com/) so that we can help you fix the problem. Thanks', 'modified': '2020-06-25T23:03:47Z'}"
79,False,2019-07-09 00:37:23,"Data provided by the app is consistently wrong. Bikes at stations when there are not any available- same goes for docks. Stations marked “valet” never seem
to have an attendant working which makes it increasingly frustrating to try and plan a commute.",Kushmaster420bro,1,Poor App,
80,False,2022-06-28 19:45:19,"Divvy in itself is great but you are 100% at your own risk when it comes to THEIR issues. 

Bike won’t dock? You’ll still be charged. 

E-Assist makes it harder to pedal? Even as a member we’re still charging full price. 

You can submit emails and issues but absolutely do not expect to ever been contacted. When Lyft bought Divvy in the fall of 2021, it all took a nosedive.",Jujubearsuk,2,Zero Customer Support,
81,False,2022-06-29 13:51:36,"Pros: qr scanning of bikes very easy

Cons: bike count almost always completely inaccurate. Assume it reflects bikes available at (unreachable) station in alternate universe.",Thunderdrawers,2,Available bike count does not reflect this universe,
82,False,2022-07-15 16:25:45,"The per minute pricing on ebikes is absolutely insane and not worth it. Ordering a Lyft is cheaper in most instances. It’s almost like that’s what they want you to do ….. 

Won’t use an ebike again until this is fixed.",double-a_b,1,New eBike pricing is a joke,
83,False,2019-07-31 13:47:19,"-Sometimes a red light appears on a mounted bike ,disabling its rental or use .

-Company should seriously has a policy regarding the minimum amount of mounted 
Bikes to be at least 1-2 mounted.",DRAAA21,4,Review,
84,False,2018-07-17 16:13:33,"No way save favorite bike locations...if anyone know how please share.  Divvy staff doesn’t know how either...two phone calls, one I was supposed to get an email and the other one was told to just “reload” the app which I had already done....",Harried commuter,1,No favorites??  Really?,
85,False,2019-07-01 17:33:36,"Be careful when you buy a single pass as they are use it or lose it within 30 mins of purchase. That isn't mentioned in the app, tough, and customer service is not super friendly or proactive in explaining how that works.",mawzwhitney,1,Baked-in scam mechanics,
86,False,2021-10-26 04:24:38,Absolutely awful bikes and customer service. Might as well walk the whole way than pay to shuttle their crappy bikes around.,i_miss_the_old_fuzzys,1,I’d rather walk 10 miles than use divvy,
87,False,2020-04-10 17:33:51,Notifications required. Dislike requirement to scan. Poor functionality. As a daily rider this is a huge downgrade. I’ve taken 1000+ rides and immediately deleted this app after first use,:(-------,1,Hate this app,
88,False,2019-06-26 03:12:03,"This app is terrible, full of bugs, and, after the latest experience my fiancé had with customer service, I’m reluctant to call them about anything. Save your $$ and put it towards a new bike.",AJL2033,1,Horrible Customer Service,
